year,ppm_per_year
1959,0.96
1960,0.71
1961,0.78
1962,0.56
1963,0.57
1964,0.49
1965,1.1
1966,1.1
1967,0.61
1968,0.99
1969,1.32
1970,1.13
1971,0.73
1972,1.47
1973,1.46
1974,0.68
1975,1.23
1976,0.97
1977,1.92
1978,1.29
1979,2.14
1980,1.71
1981,1.15
1982,1
1983,1.84
1984,1.24
1985,1.63
1986,1.04
1987,2.69
1988,2.24
1989,1.38
1990,1.18
1991,0.72
1992,0.7
1993,1.23
1994,1.69
1995,1.95
1996,1.07
1997,1.97
1998,2.82
1999,1.34
2000,1.24
2001,1.85
2002,2.38
2003,2.26
2004,1.55
2005,2.44
2006,1.77
2007,2.09
2008,1.77
2009,1.67
2010,2.4
2011,1.69
2012,2.34
2013,2.53
2014,1.89
2015,3.09
